image_filename,well_ID,treatment,hour,mean_area,plate_position
240305134144P2_14h42m07s_C6_1W.tif,C6,AtezolizumabFut8,14,3832.5666666666666,3rd_row
240305134144P2_15h46m27s_C6_1W.tif,C6,AtezolizumabFut8,15,4616.669811320755,3rd_row
240305134144P2_16h46m26s_C6_1W.tif,C6,AtezolizumabFut8,16,5648.108695652174,3rd_row
240305134144P2_17h46m27s_C6_1W.tif,C6,AtezolizumabFut8,17,6103.522222222222,3rd_row
240305134144P2_18h46m27s_C6_1W.tif,C6,AtezolizumabFut8,18,5698.98,3rd_row
240305134144P2_19h46m27s_C6_1W.tif,C6,AtezolizumabFut8,19,6483.928571428572,3rd_row
240305134144P2_20h46m27s_C6_1W.tif,C6,AtezolizumabFut8,20,7376.220930232558,3rd_row
240305134144P2_21h46m30s_C6_1W.tif,C6,AtezolizumabFut8,21,9048.342105263158,3rd_row
240305134144P2_22h46m35s_C6_1W.tif,C6,AtezolizumabFut8,22,8319.511363636364,3rd_row
240305134144P2_23h46m33s_C6_1W.tif,C6,AtezolizumabFut8,23,12286.772727272728,3rd_row
240305134144P2_24h46m29s_C6_1W.tif,C6,AtezolizumabFut8,24,12045.055555555557,3rd_row
240305134144P2_25h46m54s_C6_1W.tif,C6,AtezolizumabFut8,25,14901.66129032258,3rd_row
240305134144P2_26h46m32s_C6_1W.tif,C6,AtezolizumabFut8,26,12179.391891891892,3rd_row
240305134144P2_01h45m25s_C7_1W.tif,C7,AtezolizumabNG,1,3276.731707317073,3rd_row
240305134144P2_02h42m07s_C7_1W.tif,C7,AtezolizumabNG,2,3593.119047619048,3rd_row
240305134144P2_03h42m06s_C7_1W.tif,C7,AtezolizumabNG,3,4070.768518518519,3rd_row
240305134144P2_04h42m08s_C7_1W.tif,C7,AtezolizumabNG,4,3746.6875,3rd_row
240305134144P2_05h42m06s_C7_1W.tif,C7,AtezolizumabNG,5,3801.551724137931,3rd_row
240305134144P2_06h42m08s_C7_1W.tif,C7,AtezolizumabNG,6,4179.203703703704,3rd_row
240305134144P2_07h42m07s_C7_1W.tif,C7,AtezolizumabNG,7,4076.2586206896553,3rd_row
240305134144P2_08h42m07s_C7_1W.tif,C7,AtezolizumabNG,8,3785.8515625,3rd_row
240305134144P2_09h42m07s_C7_1W.tif,C7,AtezolizumabNG,9,4146.322033898305,3rd_row
240305134144P2_10h42m06s_C7_1W.tif,C7,AtezolizumabNG,10,4087.6949152542375,3rd_row
240305134144P2_11h42m06s_C7_1W.tif,C7,AtezolizumabNG,11,4213.85593220339,3rd_row
240305134144P2_12h42m06s_C7_1W.tif,C7,AtezolizumabNG,12,4233.601694915255,3rd_row
240305134144P2_13h42m06s_C7_1W.tif,C7,AtezolizumabNG,13,5243.91,3rd_row
240305134144P2_14h42m07s_C7_1W.tif,C7,AtezolizumabNG,14,4264.0317460317465,3rd_row
240305134144P2_15h46m27s_C7_1W.tif,C7,AtezolizumabNG,15,5502.509615384615,3rd_row
240305134144P2_16h46m26s_C7_1W.tif,C7,AtezolizumabNG,16,7258.162790697675,3rd_row
240305134144P2_17h46m27s_C7_1W.tif,C7,AtezolizumabNG,17,8231.4,3rd_row
240305134144P2_18h46m27s_C7_1W.tif,C7,AtezolizumabNG,18,9687.9,3rd_row
240305134144P2_19h46m27s_C7_1W.tif,C7,AtezolizumabNG,19,10665.441176470587,3rd_row
240305134144P2_20h46m27s_C7_1W.tif,C7,AtezolizumabNG,20,12938.166666666666,3rd_row
240305134144P2_21h46m30s_C7_1W.tif,C7,AtezolizumabNG,21,15441.346153846154,3rd_row
240305134144P2_22h46m35s_C7_1W.tif,C7,AtezolizumabNG,22,19726.56818181818,3rd_row
240305134144P2_23h46m33s_C7_1W.tif,C7,AtezolizumabNG,23,22773.1,3rd_row
240305134144P2_24h46m29s_C7_1W.tif,C7,AtezolizumabNG,24,20224.434782608696,3rd_row
240305134144P2_25h46m54s_C7_1W.tif,C7,AtezolizumabNG,25,21685.58695652174,3rd_row
240305134144P2_26h46m32s_C7_1W.tif,C7,AtezolizumabNG,26,23384.295454545456,3rd_row
240305134144P2_01h45m25s_C8_1W.tif,C8,AtezolizumabWT,1,3125.3705882352942,3rd_row
240305134144P2_02h42m07s_C8_1W.tif,C8,AtezolizumabWT,2,2844.0361445783133,3rd_row
240305134144P2_03h42m06s_C8_1W.tif,C8,AtezolizumabWT,3,2964.054054054054,3rd_row
240305134144P2_04h42m08s_C8_1W.tif,C8,AtezolizumabWT,4,3121.93661971831,3rd_row
240305134144P2_05h42m06s_C8_1W.tif,C8,AtezolizumabWT,5,3385.753846153846,3rd_row
240305134144P2_06h42m08s_C8_1W.tif,C8,AtezolizumabWT,6,3271.1194029850744,3rd_row
240305134144P2_07h42m07s_C8_1W.tif,C8,AtezolizumabWT,7,3427.097014925373,3rd_row
240305134144P2_08h42m07s_C8_1W.tif,C8,AtezolizumabWT,8,3499.3863636363635,3rd_row
240305134144P2_09h42m07s_C8_1W.tif,C8,AtezolizumabWT,9,3466.313432835821,3rd_row
